work_orders,section_names,status,working_hours,priority
FA2302170190,M,2,4.0,1
FA2303010117,G,2,1.0,2
FA2211130095,MC,2,4.9078,3
FA2302280022,H,2,72.0,4
FA2302280063,H,2,72.0,5
FA2302260035,ES,2,15.9069,6
FA2303050029,H,2,72.0,7
FA2303050030,H,2,72.0,8
FA2302190112,WE,2,12.656,9
FA2303050080,G,2,1.5,10
FA2302260043,H,2,72.0,11
FA2302280067,H,2,72.0,12
FA2303060051,G,2,1.0,13
FA2302160755,CNC,2,0.3411,14
FA2303020321,WE,2,2.0,15
FA2301170202,CNC,2,4.3195,16
FA2302280043,WE,2,1.5,17
FA2303070051,GP,2,10.15,18
FA2302010222,G,2,15.9969,19
FA2302200374,CNC,2,8.3503,20
FA2211100182,ES,2,30.0,21
FA2302050059,ES,2,40.0,22
FA2211130087,ES,2,29.8605,23
FA2302050239,M,2,1.8,24
FA2303080088,CNC,2,4.0,25
FA2302050237,H,2,72.0,26
FA2303080042,ES,2,1.5,27
FA2302280134,H,2,72.0,28
FA2303020384,CNC,2,2.0,29
FA2301170205,CNC,2,10.0,30
FA2302030070,CNC,2,4.0522,31
FA2301120421,G,2,1.8294,32
FA2303070035,ES,2,15.1078,33
FA2303070175,G,2,10.3122,34
FA2302050106,CNC,2,9.0,35
FA2302050289,ES,2,45.3906,36
FA2302050290,ES,2,58.6577,37
FA2302190197,EP,2,4.9936,38
FA2303100086,ES,2,3.5,39
FA2303070132,ES,2,1.5,40
FA2303040032,ES,2,1.8063,41
FA2302190120,CNC,2,11.0,42
FA2303110046,M,2,11.2311,43
FA2303110050,M,2,2.3336,44
FA2303130391,WE,2,15.0,45
FA2302190116,CNC,2,1.2275,46
FA2302050209,ES,2,20.415,47
FA2302050292,CNC,2,4.0609,48
FA2303100066,G,2,3.9456,49
FA2303110023,CNC,2,4.0,50
FA2303130024,WE,2,6.1917,51
FA2303130390,WE,2,5.0,52
FA2302050132,ES,2,0.7761,53
FA2303100119,MC,2,5.0,54
FA2303100120,MC,2,4.5839,55
FA2303110134,GP,2,0.5008,56
FA2303120063,WE,2,1.6492,57
FA2302190090,M,2,5.0014,58
FA2303100117,CNC,2,2.5,59
FA2303120007,ES,2,6.0,60
FA2303130023,M,2,1.5,61
FA2302280157,H,2,72.0,62
FA2302120011,WE,2,12.1042,63
FA2302190111,ES,2,66.2342,64
FA2303130489,ES,2,4.7033,65
FA2303130490,ES,2,2.4383,66
FA2302190047,M,2,2.5,67
FA2302220142,M,2,2.0,68
FA2302190067,H,2,72.0,69
FA2302190068,H,2,72.0,70
FA2302190076,H,2,72.0,71
FA2302190080,H,2,72.0,72
FA2302190091,H,2,72.0,73
FA2302190099,H,2,72.0,74
FA2302190100,H,2,72.0,75
FA2302190039,M,2,3.743,76
FA2302200069,G,2,1.0,77
FA2302200064,CNC,2,1.5,78
FA2302200063,EP,2,1.0,79
FA2302220278,CNC,2,11.4464,80
FA2302190119,ES,2,60.1028,81
FA2303130424,M,2,1.5,82
FA2303120002,WE,2,6.063,83
FA2303130406,GP,2,2.7939,84
FA2302280243,CNC,2,10.0753,85
FA2212010295,ES,2,34.0276,86
FA2302080335,WE,2,7.5,87
FA2302220378,H,2,72.0,88
FA2302220277,CNC,2,12.0,89
FA2303130416,ES,2,1.4697,90
FA2303020367,GP,2,10.0,91
FA2302180437,WE,2,3.0,92
FA2302280156,H,2,72.0,93
FA2302190177,H,2,72.0,94
FA2302190185,H,2,72.0,95
FA2303050034,H,2,72.0,96
FA2302280313,CNC,2,10.2634,97
FA2303050085,WE,2,6.2822,98
FA2303030020,GD,2,2.7369,99
FA2303030009,GD,2,3.6078,100
FA2303020375,WE,2,3.1909,101
FA2303110049,M,2,7.9884,102
FA2303110053,M,2,7.9875,103
FA2303020369,GP,2,9.0,104
FA2302280155,ES,2,1.2597,105
FA2303060109,M,2,4.0772,106
FA2303060105,H,2,72.0,107
FA2303060108,G,2,2.2528,108
FA2303100137,EP,2,1.0,109
FA2303110036,WE,2,7.0,110
FA2303110037,WE,2,7.0,111
FA2303010145,M,2,14.3028,112
FA2303010146,M,2,7.705,113
FA2210270032,M,2,17.9972,114
FA2211300097,EM,2,4.2842,115
FA2302110041,G,2,9.252,116
FA2301180033,G,2,2.5366,117
FA2302220053,G,2,5.4927,118
FA2012030192,RM,1,0.5,119
FA2202220017,CNC,1,0.5,120
FA2202220018,CNC,1,0.5,121
FA2202220016,CNC,1,2.0,122
FA2204220006,CNC,1,1.5,123
FA2204140147,MC,1,0.1,124
FA2302230078,CNC,1,2.5,125
FA2302210073,CNC,1,20.0,126
FA2302210074,CNC,1,20.0,127
FA2303070178,M,1,11.0,128
FA2303020013,EM,1,0.8,129
FA2303030080,GP,1,2.0,130
FA2303040011,EM,1,1.0,131
FA2303040035,AW,1,2.0,132
FA2303040036,AW,1,2.0,133
FA2303040056,AW,1,1.0,134
FA2302210098,M,1,1.8,135
FA2303050032,M,1,5.0,136
FA2302210099,G,1,2.0,137
FA2302210100,G,1,2.0,138
FA2303010120,EM,1,1.0,139
FA2303010097,GP,1,3.0,140
FA2303030107,MC,1,2.5,141
FA2303030108,MC,1,2.5,142
FA2210300045,M,1,3.0,143
FA2210300046,M,1,6.0,144
FA2302280018,M,1,1.5,145
FA2303070174,M,1,4.0,146
FA2303010065,ES,1,1.3,147
FA2301030075,G,1,2.8,148
FA2302230067,G,1,2.0,149
FA2302210104,WE,1,1.2,150
FA2302230071,CNC,1,2.5,151
FA2302140338,BD,1,1.0,152
FA2302280035,G,1,1.0,153
FA2303030023,AW,1,0.3,154
FA2303070164,EM,1,1.5,155
FA2212301798,BD,1,3.0,156
FA2302120121,G,1,6.0,157
FA2302230076,G,1,1.5,158
FA2302280040,G,1,3.5,159
FA2302280041,G,1,3.5,160
FA2302240424,M,1,0.6,161
FA2302240425,M,1,0.6,162
FA2211030009,M,1,1.0,163
FA2302230072,ES,1,3.0,164
FA2302020182,G,1,0.3,165
FA2302270214,AW,1,0.8,166
FA2302280079,AW,1,1.0,167
FA2302280082,AW,1,0.6,168
FA2303010132,AW,1,1.5,169
FA2303010134,EM,1,2.0,170
FA2303010136,AW,1,1.0,171
FA2303040048,EM,1,3.0,172
FA2303040049,EM,1,3.0,173
FA2303040050,EM,1,3.0,174
FA2303040051,EM,1,3.0,175
FA2303050049,AW,1,1.0,176
FA2303050081,G,1,1.5,177
FA2303060022,G,1,1.5,178
FA2303060046,AW,1,0.4,179
FA2303060047,AW,1,0.6,180
FA2303060052,AW,1,0.5,181
FA2303060053,AW,1,0.5,182
FA2303060054,AW,1,0.5,183
FA2303060055,AW,1,0.5,184
FA2303060056,AW,1,0.9,185
FA2303060057,AW,1,0.5,186
FA2303060058,AW,1,0.5,187
FA2303060059,AW,1,0.8,188
FA2303060060,AW,1,0.5,189
FA2302250100,AW,1,1.5,190
FA2302280072,M,1,1.5,191
FA2302280078,AW,1,0.6,192
FA2302280081,AW,1,0.6,193
FA2303050042,G,1,2.0,194
FA2303060050,G,1,1.0,195
FA2302170581,GP,1,2.5,196
FA2302170582,GP,1,2.5,197
FA2212190179,ES,1,2.5,198
FA2302090164,G,1,1.5,199
FA2302090165,G,1,1.5,200
FA2302090167,G,1,1.5,201
FA2302060159,G,1,3.0,202
FA2302060233,G,1,3.0,203
FA2302260038,EP,1,0.3,204
FA2301170203,CNC,1,32.0,205
FA2302200458,GP,1,4.0,206
FA2301170027,MC,1,3.0,207
FA2302020114,AW,1,1.0,208
FA2302030071,AW,1,1.0,209
FA2302230114,AW,1,0.5,210
FA2302240026,G,1,1.0,211
FA2302250087,AW,1,0.4,212
FA2302250088,AW,1,0.5,213
FA2302250089,AW,1,0.5,214
FA2302250090,M,1,1.3,215
FA2302250091,AW,1,0.3,216
FA2302250099,EM,1,1.5,217
FA2302270215,AW,1,0.4,218
FA2302270217,AW,1,0.5,219
FA2302270261,AW,1,0.5,220
FA2302270274,EM,1,1.0,221
FA2302270292,AW,1,0.3,222
FA2302270295,AW,1,1.5,223
FA2302270296,AW,1,1.5,224
FA2302280083,AW,1,0.5,225
FA2302280084,AW,1,0.5,226
FA2302280085,AW,1,0.5,227
FA2302280086,AW,1,0.5,228
FA2302280087,AW,1,0.5,229
FA2302280088,EM,1,0.4,230
FA2302280089,AW,1,0.5,231
FA2303020040,MC,1,2.0,232
FA2303020041,MC,1,2.0,233
FA2303020323,AW,1,0.5,234
FA2303060067,G,1,1.5,235
FA2303060068,G,1,1.5,236
FA2303060069,G,1,1.5,237
FA2303070013,ES,1,10.0,238
